Title,Location,No of Bedrooms,No of Bathrooms,Description,Price
2 Bed House with En Suite in Runda,"Runda, Westlands",2,2,Stunning 2 bedroom fully furnished for rent in...,"KSh 160,000/ month"
5 Bed House with Staff Quarters in Lavington,"Lavington Nairobi, Lavington",5,5,A 5bdrm family house to let in lavington.,"KSh 500,000/ month"
4 Bed House with En Suite in Karen,Karen,4,4,4 Bedrooms House on 1/2 acre In Karen,"KSh 380,000/ month"
4 Bed Townhouse with En Suite at Runda Paradise,"Runda paradise, Kiambu Road",4,4,4 bedroom+dsq to let also available for sale pr...,"KSh 300,000/ month"
4 Bed Townhouse with En Suite at Grevellia Groove,"0226p, Grevellia Groove, Brookside, Westlands",4,4,Stunning Residential four bedroomed Townhouse i...,"KSh 270,000/ month"
4 Bed Townhouse with En Suite at Brookside,"0226n, Brookside, Westlands",4,4,4-bedroom townhouse in brookside,"KSh 270,000/ month"
5 Bed Townhouse with En Suite at Greenwood,"Greenwood, Mkomani, Nyali",5,3,5 bedroom villa to let old nyali with 3 bath.,"KSh 150,000/ month"
4 Bed House with En Suite at Rosslyn,"rosslyn, Rosslyn, Westlands",4,5,High-End! Rosslyn  4 Bedroom Villa with DSQ in...,"KSh 350,000/ month"
4 Bed Townhouse with Swimming Pool in Ridgeways,Ridgeways,4,5,4 Bedroom House available for rent in Ridgeways...,"KSh 300,000/ month"
3 Bed House with En Suite at Eden Ville Estate Opp Fivestar Meadows,"Eden Ville Estate Opp Fivestar Meadows, Kiambu Road",3,3,3BEDROOM  HOUSE TO LET IN EDEN VILLE ALONG KIAM...,"KSh 140,000/ month"
5 Bed House with En Suite in Karen,Karen,5,5,5 Bedroom House for Rent in Karen at USD 5000 P...,"KSh 647,500/ month"
4 Bed Villa with En Suite at Diani Beach Road,"Diani Beach Road, Diani",4,4,Luxurious 4-Bedroom Ensuite Villa with Pool and...,"KSh 240,000/ month"
3 Bed Villa with En Suite at Diani Beach Road,"Diani Beach Road, Diani",3,3,"Tranquil 3-Bedroom Ensuite Villa, just a short...","KSh 240,000/ month"
5 Bed Townhouse with En Suite in Lavington,Lavington,5,5,5 bedroom House To let,"KSh 350,000/ month"
5 Bed Townhouse with En Suite in Lavington,Lavington,5,5,5 bedroom All EnSite with Dsq To let,"KSh 400,000/ month"
2 Bed House with Swimming Pool in Runda,"Runda, Westlands",2,1,Lovely 2 bedroom furnished house,"KSh 360,000/ month"
4 Bed House with En Suite in Kitisuru,"Kitisuru, Westlands",4,4,4 bedroom house available to let in Kitisuru.,"KSh 240,000/ month"
5 Bed Townhouse with En Suite in Lavington,Lavington,5,5,Luxury 5-Bedroom Fully Furnished Townhouse for...,"KSh 400,000/ month"
5 Bed House with En Suite in Runda,"Runda, Westlands",5,5,5 bedroom house to let in Runda,"KSh 280,000/ month"
4 Bed Townhouse with En Suite in Kiambu Road,Kiambu Road,4,4,4 bed Townhouse to let in kiambu road,"KSh 320,000/ month"
4 Bed Townhouse with En Suite in Runda,"Runda Nairobi, Runda, Westlands",4,5,A 4bdrm townhouse to let in runda.,"KSh 350,000/ month"
4 Bed Townhouse with En Suite at Two Rivers Mall,"TWO RIVERS MALL, Gigiri, Westlands",4,5,New Unfurnished Luxurious 4-Bedroom Duplex for...,"KSh 350,000/ month"
5 Bed Villa with En Suite in Lavington,Lavington,5,5,Stunning 5-Bedroom Villas for Rent in Exclusive...,"KSh 370,000/ month"
5 Bed Villa with En Suite in Riverside,"Riverside, Westlands",5,5,Luxury 5-Bedroom Townhouses for Rent in Riversi...,"KSh 265,000/ month"
6 Bed Townhouse with En Suite in Riverside,"Riverside, Westlands",6,6,6 BEDROOM ALL ENSUITE TO LET- Mzima Springs,"KSh 600,000/ month"
5 Bed Townhouse with En Suite in Lavington,Lavington,5,5,5 BEDROOM ALL  ENSUITE TO LET  LAVINGTON,"KSh 250,000/ month"
5 Bed Villa with En Suite in Kileleshwa,Kileleshwa,5,5,4 bedroom villa to let- lileleshwa,"KSh 350,000/ month"
4 Bed Townhouse with En Suite at Karen,Karen,4,4,4 bedroom plus DSQ in Karen for rent,"KSh 300,000/ month"
5 Bed Villa with En Suite in Karen,Karen,5,N/A,5 Bedroom Villa for rent in Karen,"KSh 550,000/ month"
5 Bed Townhouse with En Suite in Lavington,Lavington,5,N/A,5 Bedroom Townhouse for rent in Lavington,"KSh 550,000/ month"
4 Bed House with En Suite in Runda,"Runda, Westlands",4,4,4 Bedroom House To Let,"KSh 362,040/ month"
2 Bed Townhouse with Garden at Off Ruaka Rd,"2, Off Ruaka Rd, Runda, Westlands",2,1,Rustic 2 Bedroom detached cottage for rent in R...,"KSh 200,000/ month"
5 Bed Townhouse with En Suite at Beach Road,"Beach road, Mkomani, Nyali",5,4,5 bedroom massionate to let nyali,"KSh 100,000/ month"
4 Bed House with En Suite at Lavington,"20 Lavington, Lavington",4,5,Lavington 4 bedroom house to let,"KSh 320,000/ month"
6 Bed Villa with En Suite in Kitisuru,"Kitisuru, Westlands",6,8,6 BEDROOM +DETACHED DSQ+GARAGE+STUDY ALL ENSUIT...,"KSh 380,000/ month"
5 Bed House with En Suite at Lavington,"77 Lavington, Lavington",5,6,Lavington 5 bedroom House to let,"KSh 350,000/ month"
4 Bed Villa with En Suite at Kamiti Corner,"Kamiti Corner, Tatu City, Ruiru",4,6,Now Letting Exquisite All-En-Suite 4-Bed Home i...,"KSh 140,000/ month"
5 Bed House with En Suite at Off Ruaka Rd,"2, Off Ruaka Rd, Runda, Westlands",5,6,A Cozy and Modern 5 Bedrooms double storey hous...,"KSh 300,000/ month"
4 Bed Townhouse with En Suite at Off Ruaka Rd,"1, Off Ruaka Rd, Runda, Westlands",4,6,Exclusive 4 Bedrooms detached Town houses to le...,"KSh 420,000/ month"
4 Bed Townhouse with Staff Quarters in South C,South C,4,3,4 Bedroom Townhouse with Dsq in South C,"KSh 95,000/ month"
5 Bed House with En Suite in Loresho,"Loresho, Westlands",5,,5 bedroom all ensuite stand alone house on 0.5a...,"KSh 650,000/ month"
3 Bed House with En Suite in Karen,Karen,3,3,3 Bedrooms House to Let Near the Hub,"KSh 200,000/ month"
1 Bed House with En Suite in Karen,Karen,1,2,One Bedroom Spacious Cottage,"KSh 100,000/ month"
3 Bed Townhouse with En Suite in Kilimani,Kilimani,3,4,STUNNING 3 BEDROOM FULLY FURNISHED APARTMENT TO...,"KSh 325,000/ month"
2 Bed House with En Suite in Runda,"Runda, Westlands",2,2,Cozy 2 Bedroom House At Ineza Estate,"KSh 180,000/ month"
4 Bed House with En Suite in Runda,"Runda, Westlands",4,4,Modern 4-Bedroom Fully Furnished House at Runda...,"KSh 270,000/ month"
4 Bed House with En Suite in Runda,"Runda, Westlands",4,3,Stylish 4-Bedroom Fully Furnished Home in Runda...,"KSh 365,000/ month"
3 Bed House with En Suite at Karen,"karen, Karen",3,3,3 BEDROOM HOUSE TO LET IN KAREN AT KES 100K PER...,"KSh 100,000/ month"
4 Bed Villa with En Suite in Kiambu Road,Kiambu Road,4,5,A STUNNING FOUR BEDROOM VILLA IN A COMMUNITY LI...,"KSh 200,000/ month"
4 Bed Townhouse with En Suite at Kileleshwa,"45, Kileleshwa",4,4,Conveniently located next to schools,"KSh 150,000/ month"
4 Bed Townhouse with En Suite at Kileleshwa Massonatte 56,"78, kileleshwa massonatte 56, Kileleshwa",4,5,Beautiful4 bedroom town house for rent,"KSh 150,000/ month"
2 Bed House with Garden in Runda,"Runda Nairobi, Runda, Westlands",2,2,A 2bdrm full furnished guest wing to let in run...,"KSh 160,000/ month"
4 Bed Townhouse with En Suite at Karen,Karen,4,4,4 bedroom Villa for rent,"KSh 350,000/ month"
4 Bed Townhouse with En Suite in Lavington,Lavington,4,5,Lavington Townhouse For Rent,"KSh 250,000/ month"
6 Bed Villa with En Suite at Off Runda Grove,"2, Off Runda Grove, Runda, Westlands",6,7,Magnificent 6 Bedroom stand alone villa for ren...,"KSh 450,000/ month"
5 Bed Townhouse with En Suite at Karen,Karen,5,5,5 bedroom plus DSQ,"KSh 250,000/ month"
4 Bed Townhouse with En Suite at Ngong Road,"0220n, ngong road, Kilimani",4,4,4-Bedroom Townhouse in Kilimani,"KSh 120,000/ month"
4 Bed House with En Suite at Loresho,"Loresho, Westlands",4,3,Loresho 4brd 2 ensuite,"KSh 150,000/ month"
4 Bed Villa with En Suite in Thika Road,Thika Road,4,3,Stunning 4 Bed Villa along Thika Road,"KSh 200,000/ month"
5 Bed House with En Suite in Runda,"Runda, Westlands",5,5,5 BEDROOM ALL ENSUITE VILLA FOR RENT IN RUNDA F...,"KSh 430,000/ month"
3 Bed House in Muchatha,"Muchatha, Muchatha and Banana",3,1,"3 Bedrooms House For Rent In Muchatha,Banana Ro...","KSh 35,000/ month"
4 Bed House with En Suite in Runda,"Runda, Westlands",4,4,Stunning 4 bedroom house for rent in Runda,"KSh 250,000/ month"
5 Bed Villa with En Suite at Chalbi,"chalbi, Lavington",5,5,UNFURNISHED 5 BEDROOM WITH DSQ FOR RENT IN LAVI...,"KSh 350,000/ month"
3 Bed House with Staff Quarters in Karen,Karen,3,3,3 bedroom plus Dsq To let in Karen,"KSh 170,000/ month"
5 Bed Townhouse with Staff Quarters in Kyuna,"Kyuna, Westlands",5,5,5 bedrooms town house,"KSh 350,000/ month"
5 Bed Villa with En Suite at Vipingo Beach,"Vipingo beach, Kikambala",5,5,5 bedroom villas own compound in a gated estate,"KSh 150,000/ month"
5 Bed Townhouse with En Suite in Lavington,Lavington,5,5,Brand New 5 Bedroom Townhouse for Rent in Lavin...,"KSh 582,750/ month"
4 Bed Townhouse with Staff Quarters at Westlands,"Westlands, Brookside",4,4,4 bedrooms townhouse for rent in brookside,"KSh 270,000/ month"
5 Bed Townhouse with En Suite at Waiyaki Way,"A104, Waiyaki Way, Mountain View, Westlands",5,4,5 bedroom house in Mountain View Estate,"KSh 180,000/ month"
1 Bed House in Karen,Karen,1,2,Karen rental,"KSh 75,000/ month"
5 Bed Townhouse with En Suite at Dagoret Road,"Dagoret Road, Karen",5,5,5 bedroom Townhouse in Karen,"KSh 400,000/ month"
4 Bed House with Backup Generator in Karen,Karen,4,,Karen 4 bedrooms compact newly built coastal de...,"KSh 230,000/ month"
4 Bed Villa with En Suite at Brookside,"Brookside, Westlands Area, Westlands",4,4,4 bedrooms+dsq to let in Westlands price 300k s...,"KSh 300,000/ month"
2 Bed House in Spring Valley,"Spring Valley, Westlands",2,3,Furnished 2-Bedroom in Spring Valley For Rent-...,Price not communicated
5 Bed House with En Suite in Kitengela,Kitengela,5,3,5 BEDROOM MAISONETTE WITH A BALCONY FOR RENT IN...,"KSh 50,000/ month"
4 Bed Villa with En Suite at Karen,Karen,4,4,4 bedroom plus DSQ,"KSh 350,000/ month"
6 Bed House with En Suite at Waiyaki Way,"104, Waiyaki Way, Mountain View, Westlands",6,4,6 bedroom house in Mountain View Estate,"KSh 220,000/ month"
4 Bed Townhouse with En Suite in Kiambu Road,Kiambu Road,4,4,Elegant 4-Bedroom Townhouse + DSQ and Family ro...,"KSh 250,000/ month"
6 Bed Villa with En Suite at Kitisuru,"Kitisuru, Westlands",6,6,6 Bedrooms Villa for Rent at New Kitisuru,"KSh 400,000/ month"
4 Bed Townhouse with En Suite at Waiyaki Way,"104, Waiyaki Way, Mountain View, Westlands",4,3,4 bedroom house in Mountain View Estate,"KSh 185,000/ month"
4 Bed House with En Suite at Waiyaki Way,"104, Waiyaki Way, Mountain View, Westlands",4,4,4 bedroom double storey house in Mountain View...,"KSh 150,000/ month"
4 Bed House with En Suite at Miotoni,"83, Miotoni, Karen",4,5,Exquisite 4-Bedroom Unfurnished Family Home in...,"KSh 400,000/ month"
5 Bed House with En Suite at Off Masai West Road,"Kemboi Close, Off Masai West Road, Karen",5,5,Pazuri Home For Rent,"KSh 500,000/ month"
5 Bed Villa with En Suite at James Gichuru,"James gichuru, Lavington",5,4,5 bedroom+dsq to let lavington price 400k,"KSh 400,000/ month"
10 Bed Townhouse with En Suite at Statehouse Road,"statehouse road, Kilimani",10,10,prime Commercial Bungalow to Let sitting on 3/4...,"KSh 450,000/ month"
4 Bed Townhouse with En Suite at Kcb,"kcb, Karen",4,4,4 Spacious Bedrooms standalone,"KSh 450,000/ month"
5 Bed Villa with En Suite in Loresho,"Loresho, Westlands",5,,Loresho in a well secured gated community 5 bed...,"KSh 650,000/ month"
3 Bed Townhouse with En Suite in Kiambu Road,Kiambu Road,3,2,"A 3,4and 5 bedroom townhouses along Kiambu road...","KSh 140,000/ month"
4 Bed Townhouse with En Suite in Runda,"Runda, Westlands",4,4,4 bedroom Townhouse to let in New Runda,"KSh 250,000/ month"
4 Bed House with En Suite at Kenyatta Road,"Kenyatta road, Kenyatta Road",4,4,4 bedroom massionate  for rent,"KSh 120,000/ month"
2 Bed House with En Suite in Runda,"Runda, Westlands",2,2,2 bedroom house fully furnished for rent in Run...,"KSh 110,000/ month"
3 Bed House with En Suite in Runda,"Runda, Westlands",3,3,3 bedroom house to let in Runda,"KSh 200,000/ month"
5 Bed House with En Suite in Runda,"Runda, Westlands",5,5,Stunning 5 Bedroom Furnished House For Rent In...,"KSh 520,000/ month"
4 Bed Villa with En Suite at Karen Plains,"karen plains, Karen",4,4,Beautiful 4 bedroom house  with dsq for 3 locat...,"KSh 300,000/ month"
4 Bed Villa with En Suite in Runda,"Runda, Westlands",4,5,4 BEDROOM WITH A DETACHED SQ AND AN ATTIC FOR R...,"KSh 420,000/ month"
6 Bed House with En Suite at Off Glory Rd,"4, Off Glory Rd, Runda, Westlands",6,7,Charming 6 Bedroom stand alone house for rent i...,"KSh 450,000/ month"
4 Bed Townhouse with En Suite at Muthaiga,"2, Muthaiga",4,5,Cozy and modern 4 Bedroom cottage for rent in M...,"KSh 380,000/ month"
3 Bed Villa with En Suite at Off Ridgeways Rd,"2, Off Ridgeways Rd, Runda, Westlands",3,4,Exclusive 3 Bedroom cottage for rent in Ridgewa...,"KSh 400,000/ month"
7 Bed Townhouse with En Suite at Karen Plains,"karen plains, Karen",7,6,Prime 7-Bedroom Commercial Property for Rent –...,"KSh 600,000/ month"
5 Bed Townhouse with En Suite at Lavington,Lavington,5,5,5 bedroom plus DSQ all ensuite,"KSh 400,000/ month"
5 Bed Townhouse with En Suite in Kitisuru,"Kitisuru, Westlands",5,7,Magnificent 5 Bedroom + 2 DSQ‘S to let Kitisuru,"KSh 580,000/ month"
4 Bed House with En Suite at Nyali,"Nyali, Nyali Area",4,4,4 bedrooms beach apartment to let 130k with DSQ...,"KSh 130,000/ month"
3 Bed House with En Suite at Nyali,"Nyali, Nyali Area",3,3,A fabulous and spacious 3 bedrooms beach apartm...,"KSh 150,000/ month"
4 Bed Townhouse with En Suite in Brookside,"Brookside, Westlands",4,4,4 bedroom townhouse to rent in gravellia Grove,"KSh 270,000/ month"
4 Bed Townhouse with En Suite in Tigoni,"Tigoni, Limuru",4,4,Modern Fully Furnished 4-Bedroom Villa in Tigon...,"KSh 350,000/ month"
1 Bed House with En Suite at Baobab,"34, Baobab, Runda, Westlands",1,2,"Cozy 1 bedroom To LET in Runda, Baobab Street.","KSh 100,000/ month"
5 Bed Townhouse with En Suite in Lavington,Lavington,5,6,Elegant 5 Bedroom Townhouse To Let in Lavington,"KSh 430,000/ month"
4 Bed Townhouse with En Suite in Westlands Area,"Westlands Area, Westlands",4,5,"4 Bedroom Townhouse For Rent in Westlands, Broo...","KSh 270,000/ month"
4 Bed Villa with Swimming Pool in Garden Estate,"Garden Estate, Roysambu",4,4,🏡 4-Bedroom Villa with DSQ TO LET in Garden Ci...,"KSh 200,000/ month"
5 Bed Villa with En Suite at James Gichuru,"james gichuru, Lavington",5,5,newly built Luxury: 5-Bedroom villas to Let Nea...,"KSh 400,000/ month"
5 Bed Townhouse with En Suite at Lavington,"lavington, Lavington",5,6,5 Bed Townhouse with En Suite at Kabasiran Aven...,"KSh 250,000/ month"
4 Bed Townhouse with En Suite in Kiambu Road,Kiambu Road,4,4,Stunning Unfurnished 4-Bedroom All En-Suite + D...,"KSh 390,000/ month"
4 Bed Townhouse with En Suite in Kiambu Road,Kiambu Road,4,4,4 bedroom Townhouse with en suite at kiambu roa...,"KSh 180,000/ month"
3 Bed Townhouse with En Suite in Runda,"Runda, Westlands",3,3,Spacious 3 Bedroom + DSQ,"KSh 250,000/ month"
7 Bed Townhouse with Staff Quarters at Kyuna Crescent,"Kyuna Crescent, Kyuna, Westlands",7,,7 Bedroom Commercial Townhouse,"KSh 500,000/ month"
4 Bed Townhouse with En Suite in Kiambu Road,Kiambu Road,4,4,4 bed Townhouse with en suite at kiambu road,"KSh 250,000/ month"
4 Bed Townhouse with En Suite in Kiambu Road,Kiambu Road,4,4,4 bed Townhouse with en suite at Runda paradise,"KSh 220,000/ month"
4 Bed Townhouse with En Suite in Kiambu Road,Kiambu Road,4,4,4 bed Townhouse with en suite at kiambu road,"KSh 280,000/ month"
5 Bed House with En Suite at Eliud Mathu,"43, Eliud mathu, Runda, Westlands",5,6,From its wooden beams surrounding the house to...,"KSh 500,000/ month"
5 Bed Townhouse with En Suite at Kyuna,"Kyuna, Westlands",5,4,5 Townhouse in kyuna to let in kyuna,"KSh 390,000/ month"
5 Bed Villa with En Suite in Loresho,"Loresho, Westlands",5,5,🏡 Luxury 5 bedroom + DSQ Villas in Loresho – S...,"KSh 549,000/ month"
5 Bed House with En Suite in Runda,"Runda, Westlands",5,5,Rustic 5-Bedroom Home with a Pool in Runda,"KSh 500,000/ month"
5 Bed House with En Suite in Runda,"Runda, Westlands",5,6,An Immaculate 5-Bedroomed Family Home with Swim...,"KSh 550,500/ month"
4 Bed Townhouse with En Suite in Spring Valley,"Spring Valley, Westlands",4,5,4 BEDROOOMS TOWNHOUSE HOUSE TO LET IN SPRINGVAL...,"KSh 450,000/ month"
5 Bed House with En Suite in Runda,"Runda, Westlands",5,6,"Unfurnished 5 Bedroom House For Rent,Runda","KSh 350,000/ month"
5 Bed House with En Suite in Runda,"Runda, Westlands",5,6,"Unfurnished 5 Bedroom House For Rent,Runda","KSh 580,000/ month"
6 Bed House with En Suite in Runda,"Runda, Westlands",6,7,Unfurnished 6 Bedroom Stand alone mansion For R...,"KSh 450,000/ month"
5 Bed House at Redhill,Redhill,5,,Modern 5-Bedroom Home for Rent in Redhill – Spa...,"KSh 150,000/ month"
5 Bed House with En Suite in Runda,"Runda, Westlands",5,6,"Fully Furnished 5 Bedroom House For Rent,Runda","KSh 950,000/ month"
6 Bed House with Swimming Pool at Kerarapon Road,"Kerarapon Road, Karen",6,,6 Bedroom Home to Let in Karen,"KSh 380,000/ month"
4 Bed Villa with En Suite at Kamakis Eastern Bypass,"Kamakis Eastern Bypass, Kamakis, Ruiru",4,4,Own compound 4 bedrooms villa to let in Ruiru K...,"KSh 80,000/ month"
4 Bed Townhouse with En Suite in Runda,"Runda, Westlands",4,4,Stunning 4 bedroom house to let located at Igut...,"KSh 350,000/ month"
5 Bed House with En Suite at Panafric Road 55,"88, Panafric Road 55, Runda, Westlands",5,5,"The neighborhood is safe, with controlled acces...","KSh 450,000/ month"
5 Bed House with En Suite at Kiambu Road,"8q, Kiambu Road",5,6,5 Bedroom Townhouse with Dsq To Let on Kiambu R...,"KSh 250,000/ month"
4 Bed Villa with En Suite at Lavington,"LAVINGTON, Lavington",4,5,LAVINGTON 4 BEDROOM STANDALONE HOUSE TO LET,"KSh 250,000/ month"
4 Bed House with En Suite at Loresho,"Loresho, Westlands",4,4,4 bedroom standalone house to rent in Loresho,"KSh 250,000/ month"
5 Bed House with En Suite at Grevillea Grove,"grevillea grove, Westlands Area, Westlands",5,4,5 BEDROOM WITH DSQ ON 0.5ACRE FOR RENT,"KSh 350,000/ month"
4 Bed Villa with En Suite at Membley Estate,"Membley Estate, Kamakis, Ruiru",4,6,Own compound 4 bedrooms all en-suite maisonette...,"KSh 80,000/ month"
5 Bed Townhouse with En Suite in Lavington,Lavington,5,5,5 BEDROOM WITH SQ TOWNHOUSE TO LET IN LAVINGTON,"KSh 250,000/ month"
4 Bed Townhouse with En Suite in Runda,"Runda, Westlands",4,4,Spacious 4 bedroom townhouse to let in Runda Ga...,"KSh 280,000/ month"
5 Bed House with En Suite in Karen,Karen,5,6,Special Surpassing Normal House .,"KSh 650,000/ month"
5 Bed House with En Suite in Karen,Karen,5,7,Authentic-Charming House,"KSh 650,000/ month"
5 Bed House with En Suite in Nyari,"Nyari, Westlands",5,5,5 bedroom house to rent in Nyari,"KSh 500,000/ month"
5 Bed House with En Suite in Runda,"Runda, Westlands",5,5,Standalone ambassadorial house is located in Ru...,"KSh 775,200/ month"
5 Bed House with Swimming Pool at Miotoni Karen,"Miotoni Karen, Karen",5,6,Modern House available for rent in Karen Mioton...,"KSh 650,000/ month"
2 Bed House with En Suite in Lower Kabete,"Lower Kabete, Westlands",2,2,2 bedroom house to rent in Lower Kabete (Kenya)...,"KSh 322,857/ month"
3 Bed House with En Suite in Rosslyn,"Rosslyn, Westlands",3,3,3 bedroom house to rent in Rosslyn (Kenya)  3KE...,"KSh 388,659/ month"
2 Bed House with En Suite in Karen,Karen,2,2,2 bedroom cottage to rent in Karen (Kenya)  3KE...,"KSh 80,000/ month"
4 Bed Townhouse with En Suite in Spring Valley,"Spring Valley, Westlands",4,4,4 bedroom townhouse to rent in Spring Valley (K...,"KSh 260,000/ month"
4 Bed House with En Suite in Ridgeways,Ridgeways,4,4,4 bedroom house to rent in Ridgeways (Kenya) 3K...,"KSh 325,000/ month"
5 Bed Townhouse with En Suite in Lamu,"Lamu, lamu",5,5,Townhouse to rent in Shela (Kenya) 3KE1670172,"KSh 451,098/ month"
1 Bed House with Garden at Westlands Avenue/Sports Road,"Westlands Avenue/Sports Road, Rhapta Road, Westlands",1,1,One bedroom fully furnished cozy cottage for re...,"KSh 50,000/ month"
4 Bed House with En Suite in Kiambu Road,Kiambu Road,4,5,Luxurious 4-Bedroom Townhouse with DSQ in a Gat...,"KSh 325,000/ month"
4 Bed Townhouse with Staff Quarters in Thika,Thika,4,7,4 Bedroom House to Let,"KSh 150,000/ month"
4 Bed Townhouse with Swimming Pool in Kiambu Road,Kiambu Road,4,5,Modern  4 Bedroom townhouse available for rent.,"KSh 330,000/ month"
5 Bed House with En Suite in Loresho,"Loresho, Westlands",5,7,Exceptional House,"KSh 650,000/ month"
5 Bed House with En Suite in Runda,"Runda Nairobi, Runda, Westlands",5,6,A 5bdrm ambassadorial house to let in runda.,"KSh 4,500/ month"
5 Bed Townhouse with Swimming Pool in Lavington,Lavington,5,3,5-Bedroom Townhouse for Rent – Lavington (Pet-F...,"KSh 250,000/ month"
5 Bed Townhouse with En Suite at Off Glory Rd,"2, Off Glory Rd, Runda, Westlands",5,6,A Modern 5 Bedroom Townhouse for rent in Runda.,"KSh 380,000/ month"
4 Bed House with Gym in Muthaiga,Muthaiga,4,4,4 Bedroom House For Rent In Old Muthaiga.,"KSh 516,000/ month"
5 Bed House with En Suite in Karen,Karen,5,5,House to Let in Karen.,"KSh 650,000/ month"
5 Bed Townhouse with En Suite at Lavington,Lavington,5,5,Lavington 5 bedroom townhouse to let,"KSh 180,000/ month"
3 Bed House at Thika Town,"Near Naidu Hospital, Thika Town, Thika",3,,Charming Renovated Home in a Secure Gated Estat...,"KSh 22,000/ month"
5 Bed House with En Suite at Muthaiga Road,"66, Muthaiga Road, Muthaiga",5,6,Your piece of paradise in Nairobi.,"KSh 580,000/ month"
6 Bed House with En Suite at Panafric Road,"88, Panafric Road, Runda, Westlands",6,6,Family home with guest house for Rent,"KSh 500,000/ month"
4 Bed House with En Suite at Kiambu Road,"89, Kiambu Road",4,5,Prestigious 4 Bedrooms All Ensuite Townhouse Wi...,"KSh 325,000/ month"
5 Bed House with En Suite at Natasha Avenue,"78, Natasha Avenue, Runda, Westlands",5,6,"Sitting on half an acre in Runda, this home is...","KSh 450,000/ month"
6 Bed House with En Suite at Glory Road,"11, Glory Road, Runda, Westlands",6,7,Located in a quiet neighbourhood,"KSh 400,000/ month"
5 Bed House with En Suite at Ruaka Drive,"76, Ruaka Drive, Runda, Westlands",5,6,PRIME LOCATION HOUSE FOR RENT,"KSh 480,000/ month"
6 Bed House with En Suite at Panafrican Road,"12, Panafrican Road, Runda, Westlands",6,8,stunning 6 bedroom house is now available for...,"KSh 450,000/ month"
5 Bed House with En Suite in Runda,"Runda, Westlands",5,5,Spacious 5 bedroom house for rent in Runda,"KSh 380,000/ month"
5 Bed Villa with En Suite in Lavington,Lavington,5,5,✨ Spacious 5-Bedroom All Ensuite Villa in Secu...,"KSh 190,000/ month"
5 Bed House with En Suite in Lavington,Lavington,5,N/A,5 bedrooms All Ensuite for rent in Lavington,"KSh 400,000/ month"
5 Bed Townhouse with En Suite at Edenville,"45, Edenville, Kiambu Road",5,5,EdenVille Two,"KSh 180,000/ month"
4 Bed House with En Suite at Eden Vile,"23, Eden vile, Kiambu Road",4,4,EdenVille Two,"KSh 150,000/ month"
5 Bed Townhouse with En Suite at Peponi Rd,"Peponi Rd, Spring Valley, Westlands",5,5,5 Bedroom Townhouse for Rent on Peponi Rd,"KSh 550,000/ month"
4 Bed Townhouse with En Suite at Lavington,Lavington,4,4,Lavington 4 bedroom townhouse to let,"KSh 300,000/ month"
4 Bed House with En Suite at Lake View,"lake view, Lake View, Westlands",4,2,"Lake View Beautiful Family Home, Large Mature G...","KSh 500,000/ month"
4 Bed Townhouse with Staff Quarters at Muthaiga Karura Road,"87, Muthaiga karura Road, Muthaiga",4,5,"Tucked away, is this stunning property located...","KSh 380,000/ month"
3 Bed Townhouse with En Suite at Five Star Meadows,"Five Star Meadows, Kiambu Road",3,3,"3br Furnished Townhouse, Kiambu Road","KSh 230,000/ month"
3 Bed House with Garden at Garden Estate,"Garden Estate, Ridgeways",3,2,"3br Furnished House, Ridgeways","KSh 250,000/ month"
4 Bed Townhouse with En Suite at Kiambu Road,"52, Kiambu Road",4,5,Five Star Paradise Runda is tucked away in spec...,"KSh 230,000/ month"
4 Bed Townhouse with En Suite at Runda Paradise,"Runda Paradise, Runda, Westlands",4,4,"4br Furnished Townhouse, Runda","KSh 270,000/ month"
4 Bed House with En Suite at Kiambu Road,"31, Kiambu Road",4,5,Five Star Paradise Runda is tucked away in spec...,"KSh 330,000/ month"
4 Bed Townhouse with En Suite at Five-Star Paradise,"67, Five-star paradise, Kiambu Road",4,5,Five Star Paradise Runda,"KSh 230,000/ month"
5 Bed House with En Suite in Karen,Karen,5,5,4 bedroom villa available to let in Karen.,"KSh 300,000/ month"
2 Bed House with Swimming Pool in Runda,"Runda, Westlands",2,,2bedrooms furnished,"KSh 190,000/ month"
5 Bed House with En Suite at Off Un Avenue,"1, Off UN Avenue, Gigiri, Westlands",5,6,Charming 5 Bedroom split level house for rent i...,"KSh 450,000/ month"
1 Bed House with En Suite in Runda,"Runda, Westlands",1,,Unfurnished 1 bedroom house for rent in runda,"KSh 80,000/ month"
4 Bed Townhouse with Staff Quarters at Off James Gichuru,"67, Off James Gichuru, Lavington",4,5,5 Bedroom Townhouse for rent in Lavington,"KSh 220,000/ month"
5 Bed House with En Suite in Loresho,"Loresho Nairobi, Loresho, Westlands",5,6,A 5bdrm ambassadorial house to let in loresho.,"KSh 5,500/ month"
6 Bed House with En Suite in Runda,"Runda, Westlands",6,6,Spacious 6 bedroom for rent in Runda,"KSh 500,000/ month"
5 Bed Townhouse with En Suite in Lavington,Lavington,5,5,Ultra Modern 5 Bedroom Townhouse In Lavington T...,"KSh 485,000/ month"
4 Bed Townhouse with En Suite in Kitisuru,"Kitisuru, Westlands",4,4,4 bedroom townhouse to rent in kitisuru,"KSh 330,000/ month"
5 Bed House with En Suite in Runda,"Runda, Westlands",5,5,5 bedroom house to let in Runda,"KSh 400,000/ month"
